player_id,name,season,goals,assists,minutes,age,position,appearance_count,stats_through,valuation_date,actual_eur
447661,Douglas Luiz,2021,2.0,3.0,2722.0,24.101795382519832,Midfield,34,2022-05-22,2022-06-15,38000000
584769,Dwight McNeil,2021,0.0,1.0,3112.0,22.56309164459229,Attack,38,2022-05-22,2022-06-15,18000000
479999,Eberechi Eze,2021,1.0,1.0,602.0,23.962162125163417,Midfield,13,2022-05-22,2022-06-15,22000000
340324,Eddie Nketiah,2021,5.0,1.0,826.0,23.04496327782227,Attack,21,2022-05-22,2022-06-15,16000000
238223,Ederson,2021,0.0,0.0,3330.0,28.827422876581995,Goalkeeper,37,2022-05-22,2022-06-15,45000000
48280,Edinson Cavani,2021,2.0,1.0,765.0,35.33268992518669,Attack,15,2022-05-22,2022-06-15,4000000
486477,Edo Kayembe,2021,0.0,0.0,799.0,24.03334770734512,Midfield,13,2022-05-22,2022-06-15,3000000
442531,Edouard Mendy,2021,0.0,0.0,3060.0,30.28946521831386,Goalkeeper,34,2022-05-22,2022-06-15,32000000
476344,Emerson Royal,2021,1.0,1.0,2289.0,23.417318630772705,Defender,31,2022-05-22,2022-06-15,25000000
184528,Emil Krafth,2021,0.0,1.0,1639.0,27.869155424136018,Defender,20,2022-05-16,2022-06-15,5000000
392765,Emile Smith Rowe,2021,10.0,2.0,1920.0,21.881352799852152,Midfield,33,2022-05-16,2022-06-15,40000000
321247,Emiliano Buendía,2021,4.0,6.0,1901.0,25.470748886014086,Attack,35,2022-05-22,2022-06-15,32000000
111873,Emiliano Martínez,2021,0.0,0.0,3240.0,29.782952422020987,Goalkeeper,36,2022-05-19,2022-06-15,28000000
448854,Emmanuel Dennis,2021,10.0,6.0,2590.0,24.580929108742822,Attack,33,2022-05-07,2022-06-15,14000000
490307,Enock Mwepu,2021,2.0,5.0,994.0,24.45224747941436,Midfield,18,2022-05-22,2022-06-15,18000000
175722,Eric Dier,2021,0.0,0.0,3072.0,28.413998918526733,Defender,35,2022-05-22,2022-06-15,28000000
43763,Erik Pieters,2021,0.0,1.0,727.0,33.854220141412895,Defender,12,2022-05-07,2022-06-15,900000
442248,Ethan Pinnock,2021,1.0,1.0,2697.0,29.046455437141077,Defender,32,2022-04-16,2022-06-15,12000000
413403,Ezri Konsa,2021,2.0,0.0,2481.0,24.643900969903555,Defender,29,2022-05-15,2022-06-15,22000000
50362,Fabian Delph,2021,0.0,0.0,666.0,32.56466594112131,Midfield,11,2022-05-11,2022-06-15,1800000
135343,Fabian Schär,2021,2.0,2.0,2161.0,30.486594522817033,Defender,25,2022-05-16,2022-06-15,7000000
225693,Fabinho,2021,5.0,1.0,2316.0,28.643983107113765,Midfield,29,2022-05-10,2022-06-15,60000000
85475,Federico Fernández,2021,0.0,0.0,522.0,33.31211455402917,Defender,7,2021-12-04,2022-06-15,1500000
26267,Fernandinho,2021,2.0,1.0,958.0,37.11506738673621,Midfield,19,2022-05-22,2022-06-15,1500000
412669,Francisco Trincão,2021,2.0,1.0,1342.0,22.461789085333717,Midfield,28,2022-05-22,2022-06-15,20000000
421637,Frank Onyeka,2021,0.0,0.0,1051.0,24.45224747941436,Midfield,20,2022-03-12,2022-06-15,9000000
52570,Fraser Forster,2021,0.0,0.0,1710.0,34.24574084341225,Goalkeeper,19,2022-05-07,2022-06-15,2000000
191614,Fred,2021,4.0,5.0,2035.0,29.2791775327351,Midfield,28,2022-05-22,2022-06-15,20000000
505653,Fábio Silva,2021,0.0,0.0,564.0,19.90732184781344,Attack,22,2022-05-15,2022-06-15,15000000
435338,Gabriel,2021,5.0,0.0,3067.0,24.487840270505213,Defender,35,2022-05-22,2022-06-15,38000000
363205,Gabriel Jesus,2021,8.0,9.0,1878.0,25.199696092322224,Attack,28,2022-05-22,2022-06-15,50000000
655488,Gabriel Martinelli,2021,6.0,6.0,1867.0,20.99153302258089,Attack,29,2022-05-22,2022-06-15,40000000
111455,Granit Xhaka,2021,1.0,2.0,2331.0,29.714504746846274,Midfield,27,2022-05-22,2022-06-15,20000000
121385,Grant Hanley,2021,1.0,0.0,2899.0,30.568731733026688,Defender,33,2022-05-22,2022-06-15,3500000
217111,Hakim Ziyech,2021,4.0,3.0,1316.0,29.24084683463726,Attack,23,2022-05-22,2022-06-15,28000000
132098,Harry Kane,2021,17.0,9.0,3232.0,28.882181016721766,Attack,37,2022-05-22,2022-06-15,90000000
177907,Harry Maguire,2021,1.0,0.0,2515.0,29.2791775327351,Defender,30,2022-05-22,2022-06-15,38000000
249126,Harry Winks,2021,0.0,1.0,907.0,26.36604447729933,Midfield,19,2022-05-22,2022-06-15,15000000
398065,Harvey Barnes,2021,6.0,10.0,2105.0,24.515219340575097,Attack,32,2022-05-22,2022-06-15,32000000
290017,Hassane Kamara,2021,1.0,0.0,1626.0,28.279841475184295,Defender,19,2022-05-22,2022-06-15,4000000
292246,Hee-chan Hwang,2021,5.0,1.0,1822.0,26.385209826348248,Attack,30,2022-05-22,2022-06-15,16000000
91845,Heung-min Son,2021,23.0,9.0,3022.0,29.93627521441234,Attack,35,2022-05-22,2022-06-15,75000000
17965,Hugo Lloris,2021,0.0,0.0,3420.0,35.46958527553612,Goalkeeper,38,2022-05-22,2022-06-15,7000000
413032,Ibrahima Diallo,2021,0.0,2.0,1018.0,23.272209559402313,Midfield,23,2022-05-17,2022-06-15,10000000
357119,Ibrahima Konaté,2021,0.0,0.0,990.0,23.05865281285721,Defender,11,2022-05-22,2022-06-15,40000000
542586,Illan Meslier,2021,0.0,0.0,3385.0,22.286563036886452,Goalkeeper,38,2022-05-22,2022-06-15,20000000
635336,Imrân Louza,2021,0.0,0.0,1420.0,23.124362581024936,Midfield,20,2022-04-30,2022-06-15,9000000
206225,Isaac Hayden,2021,1.0,0.0,1001.0,27.233960998514686,Midfield,14,2021-12-19,2022-06-15,8000000
